id,name,price,in_stock
100,laptop sven 10,999.0,87
101,mouse clara,12.99,87
102,headphones beats,199.99,42
103,keyboard gaming pro,79.99,105
104,external hard drive 2TB,79.0,60
105,smartwatch fitbit,149.0,28
106,graphic tablet wacom,299.0,0
107,printer HP OfficeJet Pro,199.99,30
108,smart speaker echo dot,39.99,77
109,camera Canon EOS,699.0,19
110,bluetooth speaker JBL,79.99,54
111,fitness tracker Garmin,129.0,31
112,game console PS5,499.99,9
113,VR headset Oculus Rift,399.0,12
114,monitor LG 27-inch,249.0,36
115,tablet Samsung Galaxy Tab,299.0,22
116,router ASUS Wi-Fi 6,129.99,45
117,electric toothbrush Philips Sonicare,79.0,68
118,coffee maker Keurig,99.0,33
119,robot vacuum cleaner Roomba,249.99,17
120,portable charger Anker,29.99,92
